,企業名,キャッチコピー,ステータス,初年度年収
33,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】★スピード入社可能 正社員,正社員,350万円～650万円
34,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,【ルート営業】前職から10万円以上、給与がUPしたスタッフも！ 正社員,正社員,350万円～400万円
35,UTエイム株式会社 | 【東証一部上場グループ】★普段着での面談でOK,無理のない環境で働く！【ピッキング・仕分け】★土日休みも可能 正社員,正社員,300万円～500万円
36,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,100％反響型の【戸建住宅のアドバイザー】★女性も活躍中♪ 正社員,正社員,
37,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,360度カメラを扱う【IT事務スタッフ】先輩全員未経験出身♪ 正社員,正社員,350万円～650万円
38,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】★オンライン説明会開催中！,AI・自動化で話題の業界！【ロボットメンテナンス】◆未経験歓迎 正社員,正社員,
39,ライクスタッフィング株式会社 | [大阪府緊急雇用対策に賛同]★東証一部上場グループ★WEB面接1回,【進行管理スタッフ】★年休120日★残業月20h以内★未経験歓迎！ 正社員,正社員,350万円～1000万円
40,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／スピード入社も可能,通勤ストレスから解放♪【製造管理事務スタッフ】★未経験歓迎 正社員,正社員,300万円～500万円
41,UTエイム株式会社 | 【東証一部上場グループ】★社宅費全額補助エリア多数あり！,月収42万以上も可能【機械整備スタッフ】未経験も安心スタート♪ 正社員,正社員,300万円～500万円
42,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,本気で年収1000万円を目指す方へ【営業】高率インセン＋随時昇給 正社員,正社員,500万円～1000万円
43,UTエイム株式会社 | 【東証一部上場グループ】オンライン面接でスムーズな転職も可能,【生産管理スタッフ】完全週休二日制！★月収42万円以上も可能 正社員,正社員,300万円～500万円
44,株式会社ビッグモーター | 【業界No.1】平均年収861万円◆表彰式あり◆未経験歓迎◆面接1回,未経験から5年で年収2282万円の実績あり【車の営業】 ※高卒以上 正社員,正社員,330万円～1500万円
45,株式会社ネオ・コーポレーション | 業績好調！21年連続増収増益／今年6月に、大阪本社が拡大移転！,【電子ブレーカーの提案営業】※営業の65％が年収1000万円超！ 正社員,正社員,500万円～1500万円
46,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,通勤しやすい職場で働く♪【倉庫内作業スタッフ】※土日休み可能 正社員,正社員,300万円～500万円
47,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,【登録事務スタッフ】☆未経験歓迎☆基本定時退社☆土日休み 正社員,正社員,300万円～550万円
