,銘柄名,現在値
0,ＮＥＸＴＦＵＮＤＳ南アフリカ株式指数・ＦＴＳＥ／ＪＳＥＡｆｒｉｃａＴｏｐ,478
1,トヨタ自動車,9484
2,武田薬品工業,3698
3,日本たばこ産業,2119
4,日産自動車,568.3
5,日立製作所,6189
6,ＩＮＰＥＸ,746
7,ダイキン工業,26645
8,ブリヂストン,4970
9,エーザイ,9100
10,小松製作所,2646
11,三菱重工業,2903
12,日本電気,5680
13,飯野海運,509
14,住友化学,543
15,住友商事,1525.5
16,東洋エンジニアリング,877
17,アステラス製薬,1840
18,スズキ,4639
19,豊田通商,4760
